Timestamp,HR,Device_Time
2021-05-05 18:52:28.092248,50.0,2021-05-05 18:52:28.089208
2021-05-05 18:52:43.168420,54.0,2021-05-05 18:52:43.165467
2021-05-05 18:52:58.243353,56.0,2021-05-05 18:52:58.241383
2021-05-05 18:53:13.315124,68.0,2021-05-05 18:53:13.313266
2021-05-05 18:53:28.386495,52.0,2021-05-05 18:53:28.384593
2021-05-05 18:57:29.557419,58.0,2021-05-05 18:57:29.555287
2021-05-05 18:57:44.633513,58.0,2021-05-05 18:57:44.630548
2021-05-05 18:57:59.708879,57.0,2021-05-05 18:57:59.705841
2021-05-05 18:58:14.784418,58.0,2021-05-05 18:58:14.781273
2021-05-05 18:58:29.859245,59.0,2021-05-05 18:58:29.855764
2021-05-05 18:59:15.089057,59.0,2021-05-05 18:59:15.085479
2021-05-05 18:59:30.163576,58.0,2021-05-05 18:59:30.161171
2021-05-05 18:59:45.236673,57.0,2021-05-05 18:59:45.233703
2021-05-05 19:03:01.204425,56.0,2021-05-05 19:03:01.201531
2021-05-05 19:03:16.279319,60.0,2021-05-05 19:03:16.277248
2021-05-05 19:03:31.355740,55.0,2021-05-05 19:03:31.353148
2021-05-05 19:04:31.648298,53.0,2021-05-05 19:04:31.646085
2021-05-05 19:04:46.723356,54.0,2021-05-05 19:04:46.721225
2021-05-05 19:05:01.797511,53.0,2021-05-05 19:05:01.795299
2021-05-05 19:09:02.996317,59.0,2021-05-05 19:09:02.993366
2021-05-05 19:09:18.069308,58.0,2021-05-05 19:09:18.067218
2021-05-05 19:09:33.145048,56.0,2021-05-05 19:09:33.142408
2021-05-05 19:10:18.364394,55.0,2021-05-05 19:10:18.361816
2021-05-05 19:10:33.439397,60.0,2021-05-05 19:10:33.437303
2021-05-05 19:10:48.511825,59.0,2021-05-05 19:10:48.509213
2021-05-05 19:10:48.511371,59.0,2021-05-05 19:10:48.509213
2021-05-05 19:11:03.583509,60.0,2021-05-05 19:11:03.581247
2021-05-05 19:11:18.656342,56.0,2021-05-05 19:11:18.653480
2021-05-05 19:12:18.952025,59.0,2021-05-05 19:12:18.949278
2021-05-05 19:12:34.024117,55.0,2021-05-05 19:12:34.021410
2021-05-05 19:12:49.096441,58.0,2021-05-05 19:12:49.093440
2021-05-05 19:14:04.457751,58.0,2021-05-05 19:14:04.455694
2021-05-05 19:14:19.533560,59.0,2021-05-05 19:14:19.531393
2021-05-05 19:14:34.607034,60.0,2021-05-05 19:14:34.605166
2021-05-05 19:15:19.807336,59.0,2021-05-05 19:15:19.805231
2021-05-05 19:15:34.882713,56.0,2021-05-05 19:15:34.880556
2021-05-05 19:15:49.957170,57.0,2021-05-05 19:15:49.954975
2021-05-05 19:18:50.845213,58.0,2021-05-05 19:18:50.843094
2021-05-05 19:19:05.919466,60.0,2021-05-05 19:19:05.917363
2021-05-05 19:19:20.993325,60.0,2021-05-05 19:19:20.990307
2021-05-05 19:24:22.465468,53.0,2021-05-05 19:24:22.463424
2021-05-05 19:24:37.539815,53.0,2021-05-05 19:24:37.537190
2021-05-05 19:24:52.611498,54.0,2021-05-05 19:24:52.609363
2021-05-05 19:28:08.577541,68.0,2021-05-05 19:28:08.574905
2021-05-05 19:28:23.653140,57.0,2021-05-05 19:28:23.650480
2021-05-05 19:28:38.727454,52.0,2021-05-05 19:28:38.725224
2021-05-05 19:35:40.764079,55.0,2021-05-05 19:35:40.761127
2021-05-05 19:35:55.834678,51.0,2021-05-05 19:35:55.832652
2021-05-05 19:36:10.910860,53.0,2021-05-05 19:36:10.907784
2021-05-05 19:37:56.419119,56.0,2021-05-05 19:37:56.417246
2021-05-05 19:38:11.491245,54.0,2021-05-05 19:38:11.489171
2021-05-05 19:38:26.563234,56.0,2021-05-05 19:38:26.561173
2021-05-05 19:38:56.711850,56.0,2021-05-05 19:38:56.709366
2021-05-05 19:39:11.786188,59.0,2021-05-05 19:39:11.784103
2021-05-05 19:39:26.859423,74.0,2021-05-05 19:39:26.857442
2021-05-05 19:39:41.932549,95.0,2021-05-05 19:39:41.930352
2021-05-05 19:39:57.008807,78.0,2021-05-05 19:39:57.005598
2021-05-05 19:40:12.083716,59.0,2021-05-05 19:40:12.081118
2021-05-05 20:31:57.003806,51.0,2021-05-05 20:31:57.000551
2021-05-05 20:32:12.075331,55.0,2021-05-05 20:32:12.073379
