Timestamp,HR,Device_Time
2021-05-05 20:32:27.150916,59.0,2021-05-05 20:32:27.148162
2021-05-05 20:35:43.088358,60.0,2021-05-05 20:35:43.085294
2021-05-05 20:35:58.162499,69.0,2021-05-05 20:35:58.160477
2021-05-05 20:36:13.237832,68.0,2021-05-05 20:36:13.234811
2021-05-05 20:37:43.607200,67.0,2021-05-05 20:37:43.605199
2021-05-05 20:37:58.682369,64.0,2021-05-05 20:37:58.680390
2021-05-05 20:38:13.756477,68.0,2021-05-05 20:38:13.754454
2021-05-05 21:09:52.299335,54.0,2021-05-05 21:09:52.297285
2021-05-05 21:10:07.370920,54.0,2021-05-05 21:10:07.369123
2021-05-05 21:10:22.443260,56.0,2021-05-05 21:10:22.441230
2021-05-05 21:11:52.872628,56.0,2021-05-05 21:11:52.870424
2021-05-05 21:12:07.947162,56.0,2021-05-05 21:12:07.945118
2021-05-05 21:12:23.020230,57.0,2021-05-05 21:12:23.017346
2021-05-05 21:25:11.367605,59.0,2021-05-05 21:25:11.365170
2021-05-05 21:25:41.497668,59.0,2021-05-05 21:25:41.495708
2021-05-05 21:25:56.572264,58.0,2021-05-05 21:25:56.570298
2021-05-05 21:26:11.646138,55.0,2021-05-05 21:26:11.644156
2021-05-05 21:26:56.860814,55.0,2021-05-05 21:26:56.858686
2021-05-05 21:27:11.935881,59.0,2021-05-05 21:27:11.933726
2021-05-05 21:27:27.012443,58.0,2021-05-05 21:27:27.009537
2021-05-05 21:29:42.623305,59.0,2021-05-05 21:29:42.621137
2021-05-05 21:29:57.695050,58.0,2021-05-05 21:29:57.693137
2021-05-05 21:30:12.767233,57.0,2021-05-05 21:30:12.765152
2021-05-05 21:32:43.407138,51.0,2021-05-05 21:32:43.405222
2021-05-05 21:32:58.483327,51.0,2021-05-05 21:32:58.481060
2021-05-05 21:33:13.513273,61.0,2021-05-05 21:33:13.511355
2021-05-05 21:35:44.188552,59.0,2021-05-05 21:35:44.186564
2021-05-05 21:35:59.264144,61.0,2021-05-05 21:35:59.262219
2021-05-05 21:35:59.264144,61.0,2021-05-05 21:35:59.262219
2021-05-05 21:36:14.315364,57.0,2021-05-05 21:36:14.313281
2021-05-05 21:36:14.315728,57.0,2021-05-05 21:36:14.313281
2021-05-05 21:36:29.376618,59.0,2021-05-05 21:36:29.374138
2021-05-05 21:39:15.068563,59.0,2021-05-05 21:39:15.065329
2021-05-05 21:39:30.117383,65.0,2021-05-05 21:39:30.115385
2021-05-05 21:39:45.196688,56.0,2021-05-05 21:39:45.193391
2021-05-05 21:40:00.267204,68.0,2021-05-05 21:40:00.265156
2021-05-05 21:40:15.343466,58.0,2021-05-05 21:40:15.340576
2021-05-05 21:40:15.343374,58.0,2021-05-05 21:40:15.340576
2021-05-05 21:40:30.416691,65.0,2021-05-05 21:40:30.414655
2021-05-05 21:40:30.417169,65.0,2021-05-05 21:40:30.414655
2021-05-05 21:40:45.492020,63.0,2021-05-05 21:40:45.489338
2021-05-05 21:40:45.492308,63.0,2021-05-05 21:40:45.489338
2021-05-05 21:41:00.563423,59.0,2021-05-05 21:41:00.561347
2021-05-05 21:41:00.563490,59.0,2021-05-05 21:41:00.561347
2021-05-05 21:41:15.636207,62.0,2021-05-05 21:41:15.633333
2021-05-05 21:41:15.638488,62.0,2021-05-05 21:41:15.633333
2021-05-05 21:41:30.707611,60.0,2021-05-05 21:41:30.705276
2021-05-05 21:41:30.708058,60.0,2021-05-05 21:41:30.705276
2021-05-05 21:41:45.782085,68.0,2021-05-05 21:41:45.779737
2021-05-05 21:41:45.782086,68.0,2021-05-05 21:41:45.779737
2021-05-05 21:42:00.846827,59.0,2021-05-05 21:42:00.844842
2021-05-05 21:42:00.847380,59.0,2021-05-05 21:42:00.844842
2021-05-05 21:42:15.919914,65.0,2021-05-05 21:42:15.917850
2021-05-05 21:42:15.920342,65.0,2021-05-05 21:42:15.917850
2021-05-05 21:42:31.000395,59.0,2021-05-05 21:42:30.997327
2021-05-05 21:42:31.000180,59.0,2021-05-05 21:42:30.997327
2021-05-05 21:42:46.074844,67.0,2021-05-05 21:42:46.072764
2021-05-05 21:42:46.074845,67.0,2021-05-05 21:42:46.072764
2021-05-05 21:43:01.149481,59.0,2021-05-05 21:43:01.146424
2021-05-05 21:43:01.149481,59.0,2021-05-05 21:43:01.146424
2021-05-05 21:43:16.223343,65.0,2021-05-05 21:43:16.221141
2021-05-05 21:43:16.223233,65.0,2021-05-05 21:43:16.221141
2021-05-05 21:43:31.282185,60.0,2021-05-05 21:43:31.280354
2021-05-05 21:43:31.282284,60.0,2021-05-05 21:43:31.280354
2021-05-05 21:43:46.355061,68.0,2021-05-05 21:43:46.353117
2021-05-05 21:43:46.355166,68.0,2021-05-05 21:43:46.353117
2021-05-05 21:44:01.426980,63.0,2021-05-05 21:44:01.425116
2021-05-05 21:44:01.426979,63.0,2021-05-05 21:44:01.425116
2021-05-05 21:44:16.477282,69.0,2021-05-05 21:44:16.475149
2021-05-05 21:44:31.523415,57.0,2021-05-05 21:44:31.521352
2021-05-05 21:44:46.597679,74.0,2021-05-05 21:44:46.595358
2021-05-05 21:44:46.597541,74.0,2021-05-05 21:44:46.595358
2021-05-05 21:45:01.673328,72.0,2021-05-05 21:45:01.671179
2021-05-05 21:45:16.747231,60.0,2021-05-05 21:45:16.744875
2021-05-05 21:45:31.819144,65.0,2021-05-05 21:45:31.817124
2021-05-05 21:45:46.822679,65.0,2021-05-05 21:45:46.820617
2021-05-05 21:46:01.894986,65.0,2021-05-05 21:46:01.893105
2021-05-05 21:46:32.039420,58.0,2021-05-05 21:46:32.037333
2021-05-05 21:46:47.116058,59.0,2021-05-05 21:46:47.113166
2021-05-05 21:47:02.124477,59.0,2021-05-05 21:47:02.122392
2021-05-05 21:47:17.199449,64.0,2021-05-05 21:47:17.197335
2021-05-05 21:47:32.271779,65.0,2021-05-05 21:47:32.268842
2021-05-05 21:47:47.346017,59.0,2021-05-05 21:47:47.343981
2021-05-05 21:48:02.418859,55.0,2021-05-05 21:48:02.417088
2021-05-05 21:48:32.567143,63.0,2021-05-05 21:48:32.565126
2021-05-05 21:48:32.567062,63.0,2021-05-05 21:48:32.565126
2021-05-05 21:48:47.574314,65.0,2021-05-05 21:48:47.572268
2021-05-05 21:48:47.574313,65.0,2021-05-05 21:48:47.572268
2021-05-05 21:49:02.642334,63.0,2021-05-05 21:49:02.640158
2021-05-05 21:49:02.642341,63.0,2021-05-05 21:49:02.640158
2021-05-05 21:49:17.716070,69.0,2021-05-05 21:49:17.713322
2021-05-05 21:49:32.784532,64.0,2021-05-05 21:49:32.782413
2021-05-05 21:49:32.784438,64.0,2021-05-05 21:49:32.782413
2021-05-05 21:49:47.859153,61.0,2021-05-05 21:49:47.857128
2021-05-05 21:49:47.859361,61.0,2021-05-05 21:49:47.857128
2021-05-05 21:50:02.932710,68.0,2021-05-05 21:50:02.929293
2021-05-05 21:50:02.932792,68.0,2021-05-05 21:50:02.929293
2021-05-05 21:50:18.005715,61.0,2021-05-05 21:50:18.003534
2021-05-05 21:50:33.080896,59.0,2021-05-05 21:50:33.077288
2021-05-05 21:51:18.275926,61.0,2021-05-05 21:51:18.273956
2021-05-05 21:51:33.349944,62.0,2021-05-05 21:51:33.347838
2021-05-05 21:51:48.424847,50.0,2021-05-05 21:51:48.421451
2021-05-05 21:52:03.460782,55.0,2021-05-05 21:52:03.458328
2021-05-05 21:52:03.460468,55.0,2021-05-05 21:52:03.458328
2021-05-05 21:52:18.501966,64.0,2021-05-05 21:52:18.499900
2021-05-05 21:52:18.501965,64.0,2021-05-05 21:52:18.499900
2021-05-05 21:52:33.575193,59.0,2021-05-05 21:52:33.573161
2021-05-05 21:52:33.575292,59.0,2021-05-05 21:52:33.573161
2021-05-05 21:52:48.647323,58.0,2021-05-05 21:52:48.645204
2021-05-05 21:52:48.647344,58.0,2021-05-05 21:52:48.645204
2021-05-05 21:53:33.855266,61.0,2021-05-05 21:53:33.853146
2021-05-05 21:53:48.928445,62.0,2021-05-05 21:53:48.925391
2021-05-05 21:54:03.997059,63.0,2021-05-05 21:54:03.994202
2021-05-05 21:54:19.072513,61.0,2021-05-05 21:54:19.069299
2021-05-05 21:54:34.145359,59.0,2021-05-05 21:54:34.143210
2021-05-05 21:54:49.219243,61.0,2021-05-05 21:54:49.217201
2021-05-05 21:55:04.291500,60.0,2021-05-05 21:55:04.289297
2021-05-05 21:55:19.363232,57.0,2021-05-05 21:55:19.361128
2021-05-05 21:55:49.507557,69.0,2021-05-05 21:55:49.505228
2021-05-05 21:56:04.580281,59.0,2021-05-05 21:56:04.577322
2021-05-05 21:56:19.652069,64.0,2021-05-05 21:56:19.650033
2021-05-05 21:56:34.728186,67.0,2021-05-05 21:56:34.726015
2021-05-05 21:56:49.803105,65.0,2021-05-05 21:56:49.800360
2021-05-05 21:57:04.876332,65.0,2021-05-05 21:57:04.873195
2021-05-05 21:57:19.943109,53.0,2021-05-05 21:57:19.941022
2021-05-05 21:57:35.016230,62.0,2021-05-05 21:57:35.013413
2021-05-05 21:57:50.089275,63.0,2021-05-05 21:57:50.087290
2021-05-05 21:58:05.164318,59.0,2021-05-05 21:58:05.161112
2021-05-05 21:58:20.235284,62.0,2021-05-05 21:58:20.233137
2021-05-05 21:58:35.307103,64.0,2021-05-05 21:58:35.305143
2021-05-05 21:58:50.339517,55.0,2021-05-05 21:58:50.337452
2021-05-05 21:59:05.412462,55.0,2021-05-05 21:59:05.410379
2021-05-05 21:59:20.488190,57.0,2021-05-05 21:59:20.486167
2021-05-05 21:59:35.563161,55.0,2021-05-05 21:59:35.561155
2021-05-05 21:59:50.570691,62.0,2021-05-05 21:59:50.568578
2021-05-05 22:00:05.635317,59.0,2021-05-05 22:00:05.633251
2021-05-05 22:00:20.686030,62.0,2021-05-05 22:00:20.683942
2021-05-05 22:00:35.749042,62.0,2021-05-05 22:00:35.746250
2021-05-05 22:00:50.820415,60.0,2021-05-05 22:00:50.817220
2021-05-05 22:01:20.964516,68.0,2021-05-05 22:01:20.961462
2021-05-05 22:01:36.036069,68.0,2021-05-05 22:01:36.033900
2021-05-05 22:01:51.112294,67.0,2021-05-05 22:01:51.109315
2021-05-05 22:02:06.135660,69.0,2021-05-05 22:02:06.133521
2021-05-05 22:02:21.211187,68.0,2021-05-05 22:02:21.209220
2021-05-05 22:02:36.283366,65.0,2021-05-05 22:02:36.281137
2021-05-05 22:02:51.338776,67.0,2021-05-05 22:02:51.336561
2021-05-05 22:03:06.401068,68.0,2021-05-05 22:03:06.398757
2021-05-05 22:03:21.439271,69.0,2021-05-05 22:03:21.437160
2021-05-05 22:03:36.483218,63.0,2021-05-05 22:03:36.481221
2021-05-05 22:03:51.558464,63.0,2021-05-05 22:03:51.556359
2021-05-05 22:04:06.627487,65.0,2021-05-05 22:04:06.625372
2021-05-05 22:04:21.661712,68.0,2021-05-05 22:04:21.659568
2021-05-05 22:04:36.708440,63.0,2021-05-05 22:04:36.706342
2021-05-05 22:04:51.783614,63.0,2021-05-05 22:04:51.781263
2021-05-05 22:05:06.857061,62.0,2021-05-05 22:05:06.854818
2021-05-05 22:05:21.924085,61.0,2021-05-05 22:05:21.921912
2021-05-05 22:05:37.000544,64.0,2021-05-05 22:05:36.997332
2021-05-05 22:05:52.071748,63.0,2021-05-05 22:05:52.069237
2021-05-05 22:09:07.917246,59.0,2021-05-05 22:09:07.914876
2021-05-05 22:09:22.992550,59.0,2021-05-05 22:09:22.989369
2021-05-05 22:09:38.067411,59.0,2021-05-05 22:09:38.065179
2021-05-05 22:09:53.144277,59.0,2021-05-05 22:09:53.140966
2021-05-05 22:10:08.209239,64.0,2021-05-05 22:10:08.207081
2021-05-05 22:10:23.237403,65.0,2021-05-05 22:10:23.234939
2021-05-05 22:10:38.311294,61.0,2021-05-05 22:10:38.309172
2021-05-05 22:10:53.384591,61.0,2021-05-05 22:10:53.382447
2021-05-05 22:11:08.459840,78.0,2021-05-05 22:11:08.457329
2021-05-05 22:11:23.525923,63.0,2021-05-05 22:11:23.523891
2021-05-05 22:11:38.597106,65.0,2021-05-05 22:11:38.594952
2021-05-05 22:12:07.714294,50.0,2021-05-05 22:12:07.712354
2021-05-05 22:12:22.787291,54.0,2021-05-05 22:12:22.785225
2021-05-05 22:12:37.856122,56.0,2021-05-05 22:12:37.854192
2021-05-05 22:12:52.933560,68.0,2021-05-05 22:12:52.929554
2021-05-05 22:13:08.007500,52.0,2021-05-05 22:13:08.005316
2021-05-05 22:13:23.080442,58.0,2021-05-05 22:13:23.077354
2021-05-05 22:13:38.150979,60.0,2021-05-05 22:13:38.149156
2021-05-05 22:14:08.296146,51.0,2021-05-05 22:14:08.293905
2021-05-05 22:14:23.305508,57.0,2021-05-05 22:14:23.303575
2021-05-05 22:14:53.441540,58.0,2021-05-05 22:14:53.439620
2021-05-05 22:15:08.445571,54.0,2021-05-05 22:15:08.443517
2021-05-05 22:15:23.519394,58.0,2021-05-05 22:15:23.517185
2021-05-05 22:15:38.569336,56.0,2021-05-05 22:15:38.567186
2021-05-05 22:15:53.606588,55.0,2021-05-05 22:15:53.604603
2021-05-05 22:16:08.674995,62.0,2021-05-05 22:16:08.673171
2021-05-05 22:16:23.748259,59.0,2021-05-05 22:16:23.745442
2021-05-05 22:16:38.823208,58.0,2021-05-05 22:16:38.821159
2021-05-05 22:16:53.892604,58.0,2021-05-05 22:16:53.890361
2021-05-05 22:17:08.968771,58.0,2021-05-05 22:17:08.965448
2021-05-06 00:56:30.266546,54.0,2021-05-06 00:56:30.264347
2021-05-06 00:56:45.343259,56.0,2021-05-06 00:56:45.340307
2021-05-06 00:57:00.417917,68.0,2021-05-06 00:57:00.415282
2021-05-06 00:57:15.494018,52.0,2021-05-06 00:57:15.490988
2021-05-06 00:57:30.568953,58.0,2021-05-06 00:57:30.566499
2021-05-06 00:57:45.643533,60.0,2021-05-06 00:57:45.640523
2021-05-06 00:58:00.718968,59.0,2021-05-06 00:58:00.715961
2021-05-06 00:58:15.790342,51.0,2021-05-06 00:58:15.788292
2021-05-06 00:59:43.809992,54.0,2021-05-06 00:59:43.806806
2021-05-06 00:59:58.884869,56.0,2021-05-06 00:59:58.881773
2021-05-06 01:00:13.962614,68.0,2021-05-06 01:00:13.959267
2021-05-06 01:00:44.118512,58.0,2021-05-06 01:00:44.108805
2021-05-06 01:00:59.187645,60.0,2021-05-06 01:00:59.184664
2021-05-06 01:01:29.342374,51.0,2021-05-06 01:01:29.334167
2021-05-06 01:01:44.410779,57.0,2021-05-06 01:01:44.408479
2021-05-06 01:02:40.018853,50.0,2021-05-06 01:02:40.016442
2021-05-06 01:02:55.091139,54.0,2021-05-06 01:02:55.088427
2021-05-06 01:03:10.158189,56.0,2021-05-06 01:03:10.156051
